Rk,Player,From,To,Lg,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
76,Mike Gminski,1981,1994,NBA,938,25.6,11.7,6.9,1.3,0.5,1.1,0.465,0.122,0.843,55.9,0.111
77,James Donaldson,1981,1995,NBA,957,27.4,8.6,7.8,0.8,0.4,1.3,0.571,,0.732,62.3,0.114
78,Orlando Woolridge,1982,1994,NBA,851,28.3,16,4.3,1.9,0.6,0.7,0.513,0.091,0.737,53,0.106
79,Buck Williams,1982,1998,NBA,1307,32.5,12.8,10,1.3,0.8,0.8,0.549,0.167,0.664,120.1,0.136
80,Larry Nance,1982,1994,NBA,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.145,0.755,109.6,0.171
81,Eddie Johnson,1982,1999,NBA,1199,27.2,16,4,2.1,0.6,0.2,0.472,0.335,0.84,65.6,0.097
82,Tom Chambers,1982,1998,NBA,1107,30.6,18.1,6.1,2.1,0.8,0.6,0.468,0.307,0.807,79,0.112
83,Rolando Blackman,1982,1994,NBA,980,32.7,18,3.3,3,0.7,0.3,0.493,0.343,0.84,75.6,0.113
84,Danny Ainge,1982,1995,NBA,1042,26.6,11.5,2.7,4,1.1,0.1,0.469,0.378,0.846,71.5,0.124
85,Mark Aguirre,1982,1994,NBA,923,30,20,5,3.1,0.7,0.3,0.484,0.312,0.741,67.8,0.117
86,Ricky Pierce,1983,1998,NBA,969,24.4,14.9,2.4,1.9,0.8,0.2,0.493,0.322,0.875,72.2,0.146
87,Fat Lever,1983,1994,NBA,752,31.7,13.9,6,6.2,2.2,0.3,0.447,0.31,0.771,61.2,0.123
88,Sleepy Floyd,1983,1995,NBA,957,27.6,12.8,2.6,5.4,1.2,0.2,0.444,0.324,0.815,50.6,0.092
89,Terry Cummings,1983,2000,NBA,1183,28.7,16.4,7.3,1.9,1.1,0.5,0.484,0.295,0.706,91.1,0.129
90,Byron Scott,1984,1997,NBA,1073,28.1,14.1,2.8,2.5,1.1,0.3,0.482,0.37,0.833,75.2,0.12
91,Doc Rivers,1984,1996,NBA,864,27.3,10.9,3,5.7,1.8,0.4,0.444,0.328,0.784,68.2,0.139
92,Rodney McCray,1984,1993,NBA,768,32.4,11.7,6.6,3.6,0.8,0.6,0.503,0.26,0.761,56,0.108
93,Jeff Malone,1984,1996,NBA,905,32.8,19,2.6,2.4,0.6,0.1,0.484,0.268,0.871,54.2,0.088
94,Derek Harper,1984,1999,NBA,1199,31.5,13.3,2.4,5.5,1.6,0.3,0.463,0.354,0.745,86.8,0.11
95,Dale Ellis,1984,2000,NBA,1209,28.8,15.7,3.5,1.4,0.8,0.2,0.479,0.403,0.784,84.7,0.117
96,Kevin Willis,1985,2007,NBA,1424,26.9,12.1,8.4,0.9,0.7,0.5,0.487,0.211,0.713,81.8,0.102
97,Otis Thorpe,1985,2001,NBA,1257,31.7,14,8.2,2.2,0.7,0.4,0.546,0.047,0.687,106.4,0.128
98,Alvin Robertson,1985,1996,NBA,779,31.7,14,5.2,5,2.7,0.4,0.477,0.295,0.743,52.1,0.101
99,Sam Perkins,1985,2001,NBA,1286,28.5,11.9,6,1.5,0.9,0.7,0.459,0.362,0.811,105.4,0.138
100,Jerome Kersey,1985,2001,NBA,1153,24.4,10.3,5.5,1.9,1.2,0.7,0.465,0.201,0.69,69.5,0.119
101,Vern Fleming,1985,1996,NBA,893,27.7,11.3,3.4,4.8,1,0.1,0.498,0.181,0.764,52,0.101
102,Michael Cage,1985,2000,NBA,1140,26.1,7.3,7.6,0.9,0.9,0.6,0.515,0,0.664,74.4,0.12
